M005-langkode;grunntype_kode
NiN-3.0-T-C-PE-NA-MB-IA01-M005-01;IA01-01
NiN-3.0-T-C-PE-NA-MB-IA01-M005-02;IA01-02
NiN-3.0-T-C-PE-NA-MB-IA01-M005-03;IA01-03
NiN-3.0-T-C-PE-NA-MB-IA01-M005-04;IA01-04
NiN-3.0-T-C-PE-NA-MB-LA01-M005-01;LA01-01
NiN-3.0-T-C-PE-NA-MB-LA01-M005-02;LA01-02
NiN-3.0-T-C-PE-NA-MB-LA01-M005-03;LA01-03
NiN-3.0-T-C-PE-NA-MB-LA01-M005-04;LA01-04
NiN-3.0-T-C-PE-NA-MB-LA01-M005-05;LA01-05
NiN-3.0-T-C-PE-NA-MB-LA01-M005-06;LA01-06
NiN-3.0-T-C-PE-NA-MB-LA01-M005-07;LA01-07
NiN-3.0-T-C-PE-NA-MB-LA01-M005-08;LA01-08
NiN-3.0-T-C-PE-NA-MB-LA01-M005-09;LA01-09
NiN-3.0-T-C-PE-NA-MB-LA01-M005-10;LA01-10
NiN-3.0-T-C-PE-NA-MB-LA01-M005-11;LA01-11
NiN-3.0-T-C-PE-NA-MB-LA01-M005-12;LA01-12
NiN-3.0-T-C-PE-NA-MB-LA01-M005-13;LA01-13
NiN-3.0-T-C-PE-NA-MB-LA02-M005-01;LA02-01
NiN-3.0-T-C-PE-NA-MB-LA02-M005-02;LA02-02
NiN-3.0-T-C-PE-NA-MB-LA02-M005-03;LA02-03
NiN-3.0-T-C-PE-NA-MB-LA02-M005-03;LA02-04
NiN-3.0-T-C-PE-NA-MB-LA02-M005-04;LA02-05
NiN-3.0-T-C-PE-NA-MB-LA02-M005-04;LA02-06
NiN-3.0-T-C-PE-NA-MB-LA02-M005-05;LA02-07
NiN-3.0-T-C-PE-NA-MB-LA02-M005-05;LA02-10
NiN-3.0-T-C-PE-NA-MB-LA02-M005-05;LA02-11
NiN-3.0-T-C-PE-NA-MB-LA02-M005-06;LA02-08
NiN-3.0-T-C-PE-NA-MB-LA02-M005-06;LA02-12
NiN-3.0-T-C-PE-NA-MB-LA02-M005-06;LA02-13
NiN-3.0-T-C-PE-NA-MB-LA02-M005-07;LA02-09
NiN-3.0-T-C-PE-NA-MB-LA02-M005-07;LA02-14
NiN-3.0-T-C-PE-NA-MB-LA02-M005-08;LA02-15
NiN-3.0-T-C-PE-NA-MB-LA02-M005-08;LA02-18
NiN-3.0-T-C-PE-NA-MB-LA02-M005-08;LA02-19
NiN-3.0-T-C-PE-NA-MB-LA02-M005-09;LA02-16
NiN-3.0-T-C-PE-NA-MB-LA02-M005-09;LA02-20
NiN-3.0-T-C-PE-NA-MB-LA02-M005-09;LA02-21
NiN-3.0-T-C-PE-NA-MB-LA02-M005-10;LA02-17
NiN-3.0-T-C-PE-NA-MB-LA02-M005-10;LA02-22
NiN-3.0-T-C-PE-NA-MB-LA02-M005-11;LA02-23
NiN-3.0-T-C-PE-NA-MB-LA02-M005-11;LA02-26
NiN-3.0-T-C-PE-NA-MB-LA02-M005-11;LA02-27
NiN-3.0-T-C-PE-NA-MB-LA02-M005-12;LA02-24
NiN-3.0-T-C-PE-NA-MB-LA02-M005-12;LA02-28
NiN-3.0-T-C-PE-NA-MB-LA02-M005-13;LA02-25
NiN-3.0-T-C-PE-NA-MB-LA02-M005-13;LA02-29
NiN-3.0-T-C-PE-NA-MB-LA02-M005-13;LA02-30
NiN-3.0-T-C-PE-NA-MB-LA02-M005-14;LA02-31
NiN-3.0-T-C-PE-NA-MB-LA02-M005-15;LA02-32
NiN-3.0-T-C-PE-NA-MB-LA03-M005-01;LA03-01
NiN-3.0-T-C-PE-NA-MB-LA03-M005-02;LA03-02
NiN-3.0-T-C-PE-NA-MB-LA03-M005-03;LA03-03
NiN-3.0-T-C-PE-NA-MB-LA03-M005-04;LA03-04
NiN-3.0-T-C-PE-NA-MB-LB01-M005-01;LB01-01
NiN-3.0-T-C-PE-NA-MB-LB01-M005-02;LB01-02
NiN-3.0-T-C-PE-NA-MB-LB01-M005-03;LB01-03
NiN-3.0-T-C-PE-NA-MB-LB02-M005-01;LB02-01
NiN-3.0-T-C-PE-NA-MB-LB02-M005-02;LB02-02
NiN-3.0-T-C-PE-NA-MB-LB02-M005-03;LB02-03
NiN-3.0-T-C-PE-NA-MB-LC01-M005-01;LC01-01
NiN-3.0-T-C-PE-NA-MB-LC01-M005-02;LC01-02
NiN-3.0-T-C-PE-NA-MB-LC01-M005-03;LC01-03
NiN-3.0-T-C-PE-NA-MB-LC01-M005-04;LC01-04
NiN-3.0-T-C-PE-NA-MB-LC01-M005-05;LC01-05
NiN-3.0-T-C-PE-NA-MB-LC02-M005-01;LC02-01
NiN-3.0-T-C-PE-NA-MB-LC02-M005-02;LC02-02
NiN-3.0-T-C-PE-NA-MB-LC02-M005-03;LC02-03
NiN-3.0-T-C-PE-NA-MB-LC02-M005-04;LC02-04
NiN-3.0-T-C-PE-NA-MB-LC03-M005-01;LC03-01
NiN-3.0-T-C-PE-NA-MB-LC03-M005-02;LC03-02
NiN-3.0-T-C-PE-NA-MB-LC04-M005-01;LC04-01
NiN-3.0-T-C-PE-NA-MB-LC04-M005-02;LC04-02
NiN-3.0-T-C-PE-NA-MB-LC04-M005-03;LC04-03
NiN-3.0-T-C-PE-NA-MB-LC04-M005-04;LC04-04
NiN-3.0-T-C-PE-NA-MB-LC04-M005-05;LC04-05
NiN-3.0-T-C-PE-NA-MB-LC04-M005-06;LC04-06
NiN-3.0-T-C-PE-NA-MB-LC04-M005-07;LC04-07
NiN-3.0-T-C-PE-NA-MB-LC05-M005-01;LC05-01
NiN-3.0-T-C-PE-NA-MB-LC05-M005-02;LC05-02
NiN-3.0-T-C-PE-NA-MB-LC06-M005-01;LC06-01
